Mot/Expression,Frequence
whats wrong,8
watch,8
younger,8
young adult,8
pictures,8
want know,8
really bad,8
voice,8
video,8
rough,8
run,8
running,8
said wanted,8
reach,8
says hes,8
seen,8
showed,8
shut,8
sites,8
social media,8
sounds,8
staying,8
stepdaughter,8
sudden,8
questions,8
suicide,8
teenage,8
prison,8
therapists,8
theyve,8
thinks im,8
throwing,8
touch,8
possible,8
tough,8
verbally,8
past year,8
know tell,8
passed away,8
hotel,8
death,8
dated,8
know need,8
know start,8
11,8
daily basis,8
lately ive,8
crush,8
couch,8
makes want,8
confessed,8
come home,8
closure,8
liked,8
likes,8
christian,8
causes,8
case,8
distance,8
dont really,8
dont talk,8
exwife,8
hung,8
husband years,8
helped,8
hed,8
having sex,8
im love,8
im worried,8
hang,8
hand,8
hair,8
infant,8
grandma,8
games,8
figure,8
fiancée,8
falling,8
involved,8
love dont,8
couple months,8
calm,8
nights,8
miss,8
mistakes,8
mom dad,8
month ago,8
movies,8
basis,8
multiple,8
basically,8
born,8
away feel,8
argue,8
answers,8
online,8
adopted,8
admitted,8
accept,8
blames,8
huge,8
bring,8
medicine,8
media,8
fought,7
chance,7
suffer,7
general,7
supposed,7
wait,7
uncomfortable,7
finding,7
habit,7
wondering,7
badly,7
feel lost,7
fast,7
student,7
want live,7
fall,7
want leave,7
want better,7
want feel,7
worth,7
hates,7
step,7
acting,7
year ago,7
accepting,7
spent,7
hes going,7
15,7
smoking,7
12,7
checking,7
childs,7
unhappy,7
birth,7
trying make,7
try talk,7
cried,7
wedding,7
birthday,7
custody,7
weeks ago,7
confused,7
breaking,7
breakup,7
wanting,7
day night,7
treatment,7
totally,7
example,7
deep,7
dependent,7
tonight,7
depression anxiety,7
weird,7
distant,7
want happy,7
does mean,7
doesnt work,7
wanted divorce,7
drama,7
erection,7
eventually,7
divorced,7
god,7
pushed,7
ones,7
keeps,7
places,7
information,7
married years,7
insecure,7
inside,7
keeping,7
possibly,7
regarding,7
mid,7
like just,7
like people,7
process,7
ive told,7
separation,7
selfish,7
intimacy,7
putting,7
question,7
separate,7
loud,7
lead,7
lunch,7
know whats,7
overcome,7
know anymore,7
people dont,7
shouldnt,7
road,7
husbands,7
people think,7
im feeling,7
lazy,7
overreacting,7
im happy,7
parent,7
said didnt,7
literally,6
know just,6
long distance,6
live dad,6
tries,6
losing feelings,6
realize,6
lots,6
treats,6
really like,6
course,6
really upset,6
ruining,6
clear,6
complain,6
like hes,6
continues,6
unsure,6
like fact,6
rid,6
cousin,6
rest,6
turn,6
religious,6
leads,6
conversation,6
slept,6
medical,6
personality disorder,6
numerous times,6
anymore im,6
work things,6
anymore dont,6
annoying,6
ago im,6
affection,6
original,6
accusing,6
quickly,6
accident,6
people just,6
40s,6
20,6
yells,6
yesterday,6
party,6
11 years,6
bad things,6
numerous,6
barely,6
noticed,6
calling,6
want stop,6
business,6
wanted sex,6
hurtful,6
breathe,6
memories,6
mess,6
watching,6
ptsd,6
propose,6
bit,6
week later,6
bisexual,6
middle,6
months later,6
believes,6
treated,6
transgender,6
forget,6
telling im,6
great guy,6
stuck,6
graduate,6
insurance,6
suggestions,6
good person,6
past years,6
summer,6
seven years,6
interested,6
gender,6
sweet,6
fully,6
talk parents,6
talks,6
tearing,6
tearing apart,6
sent,6
fell love,6
strong,6
guilt,6
shake,6
help really,6
homeless,6
hold,6
hide,6
sorry,6
space,6
helping,6
ignore,6
im concerned,6
stand,6
shock,6
hearing,6
started seeing,6
starts,6
im tired,6
stepdaughters,6
stomach,6
happens,6
stop talking,6
feel worthless,6
youngest,6
feel really,6
disappointed,6
schedule,6
says wants,6
doesnt think,6
doesnt love,6
says doesnt,6
killed,6
killing,6
disrespectful,6
die,6
embarrassing,6
developing,6
details,6
toilet,6
say im,6
told didnt,6
know dont,6
