Mot/Expression,Frequence
clearly,64
professional help,64
beneficial,63
protect,63
guess,63
require,63
alcohol,63
ptsd,63
sexually,63
adults,63
blame,63
room,63
inside,63
father,63
details,63
reduce,62
changing,62
exercise,62
best way,62
dreams,62
requires,62
impact,62
dont feel,62
wish best,62
taken,62
empathy,62
options,62
differently,62
techniques,62
feel safe,61
también,61
view,61
difference,61
al,61
depressed,61
website,61
assist,61
overwhelmed,61
sign,61
persons,61
generally,60
environment,60
answer question,60
rules,60
difficulty,60
direction,60
values,60
currently,60
treat,60
track,60
sit,60
ending,60
eventually,60
year,59
receive,59
shows,59
topic,59
unable,59
pretty,59
break,59
basic,59
messages,59
history,59
provider,59
knows,59
light,59
vulnerable,58
patient,58
message,58
cognitive,58
relief,58
perspective,58
spend time,58
play,58
form,58
insight,58
increase,58
gives,58
highly,57
schedule,57
factors,57
curious,57
responsible,57
able help,57
activity,57
guilt,57
medications,57
beliefs,57
overwhelming,57
got,57
affect,57
types,57
reading,57
sharing,56
forgive,56
acceptance,56
position,56
secure,56
seen,56
selfesteem,56
im sure,56
voice,56
peace,56
tried,55
deeply,55
exactly,55
behavioral,55
sleeping,55
hopefully,55
thoughts feelings,55
wouldnt,55
inner,54
add,54
acknowledge,54
turn,54
motivation,54
losing,54
therapeutic,54
underlying,54
smoking,54
makes feel,54
soon,54
qualities,54
wrote,54
path,54
specifically,53
touch,53
growing,53
wonderful,53
define,53
pattern,53
special,53
que te,53
house,53
childs,53
woman,53
suggestions,53
rule,53
reasonable,53
worst,53
appreciate,52
meeting,52
possibility,52
regardless,52
building,52
trigger,52
setting,52
deeper,52
useful,52
started,52
early,52
distress,52
creating,52
perfect,52
memories,51
effect,51
help understand,51
writing,51
infidelity,51
divorce,51
licensed,51
dbh lpc,51
sexuality,51
lpc ncc,51
lpc,51
friendship,51
daughters,51
suicide,50
major,50
physically,50
diagnosis,50
lets,50
commitment,50
forget,50
teach,50
does mean,50
risk,50
balance,50
naturally,50
ive,50
ser,50
opinion,50
discover,50
scared,50
ease,49
challenge,49
treated,49
attempt,49
tus,49
physician,49
anxiety depression,49
psychological,49
health professional,49
word,49
regular,49
havent,49
feel good,49
responsibility,49
insecurities,49
following,49
confident,48
run,48
communicating,48
im glad,48
google,48
cuando,48
rest,48
worked,48
help feel,48
understood,48
additional,48
individuals,48
ill,48
compassion,47
potential,47
addressing,47
exploring,47
consejero,47
ultimately,47
success,47
good therapist,47
cycle,47
guidance,47
crisis,47
meaning,47
affecting,47
affects,47
mistakes,47
beginning,47
good news,46
week,46
selfcare,46
role,46
extremely,46
head,46
doesnt mean,46
books,46
guilty,46
today,46
spending time,46
understandable,46
feedback,46
hurting,46
slowly,46
hurtful,46
topics,46
source,46
god,46
comfort,45
focusing,45
childhood,45
growth,45
trusted,45
totally,45
walk,45
caring,45
más,45
purpose,45
resolve,45
conflict,45
considering,45
courage,45
post,45
blaming,45
interests,44
married,44
lost,44
dynamics,44
food,44
office,44
wait,44
unless,44
visit,44
degree,44
nature,44
suggestion,44
causes,44
story,43
hacer,43
lying,43
leaving,43
want know,43
attacks,43
ya,43
death,43
finally,43
longterm,43
noticing,43
primary care,43
familiar,43
stuff,43
things like,43
asked,42
expressing,42
negative thoughts,42
sister,42
meaningful,42
met,42
coping skills,42
successful,42
romantic,42
receiving,42
calling,42
quickly,42
addressed,42
puedo,41
personality,41
depends,41
good time,41
agreement,41
frustration,41
sentimientos,41
pay attention,41
yoga,41
road,41
overcome,41
root,41
lo que,41
sound like,41
actual,41
therapist able,41
terapia,41
member,41
states,41
legal,41
hurts,41
está,41
impossible,40
breath,40
attracted,40
quality,40
community,40
families,40
line,40
examine,40
gay,40
baby,40
caused,40
allows,40
remain,40
circumstances,40
lot people,40
counselor help,40
slow,40
whats going,40
mention,40
unique,40
manejar,40
search,40
showing,40
period,40
report,40
frustrating,39
en la,39
opening,39
drive,39
force,39
hope helpful,39
repair,39
gone,39
developing,39
prepared,39
different ways,39
suffering,39
dialogue,39
good fit,39
couples therapy,39
people feel,39
picture,39
lose,39
mindfulness,39
changed,39
